community_name,2019,2022,stations,pct_19in22,pct_19in22viz
ALBANY PARK,2312061,1256504,3,54.34562496404723,160506.9204444289
ARMOUR SQUARE,2847378,1544260,2,54.234457104044495,159523.94879596875
AUSTIN,2236793,1139834,5,50.95840339271448,132326.68633387127
AVONDALE,1460132,826171,1,56.581939167143794,181147.97449668165
BRIDGEPORT,766196,405877,1,52.972999075954455,148649.57911231715
BRIGHTON PARK,1009589,619023,1,61.31435663423433,230508.27824981796
CHATHAM,3162590,1389216,2,43.926528573099894,84757.99009863705
DOUGLAS,480679,271895,1,56.564776077174166,180983.18078073373
EAST GARFIELD PARK,1583782,833835,4,52.648344279705164,145933.21597626814
EDGEWATER,4535625,1660736,4,36.61537274355794,49089.70008878698
ENGLEWOOD,1096944,464030,2,42.30206829154451,75698.06986299848
FULLER PARK,1810587,856502,2,47.30521096196979,105858.79615262798
GAGE PARK,1089224,627572,1,57.616431514546136,191266.5701246172
GARFIELD RIDGE,2477340,1377794,1,55.61586217475195,172026.7650499271
GRAND BOULEVARD,1120463,539267,4,48.12894312440482,111485.65121116066
GREATER GRAND CROSSING,1423925,627587,1,44.07444212300507,85617.09175806156
IRVING PARK,2923412,1314934,3,44.9794281476576,91000.08312046358
JEFFERSON PARK,1896402,1042823,1,54.98955390260082,166280.21966991943
LAKE VIEW,12331133,6450989,7,52.314649432456854,143175.91201311979
LINCOLN PARK,4963195,2722019,2,54.84408732681267,164964.09964645494
LINCOLN SQUARE,3422570,1582850,4,46.24741057158802,98915.02470768325
LOGAN SQUARE,5613604,2547568,3,45.3820397733791,93465.65122609939
LOOP,43653015,19255145,16,44.109542032778265,85821.80536913783
LOWER WEST SIDE,1822986,1191416,4,65.35519197624117,279151.70457164984
MCKINLEY PARK,896292,477257,1,53.247937056227215,150976.15498684006
NEAR NORTH SIDE,17906928,8557373,7,47.78805722567265,109133.51046593604
NEAR SOUTH SIDE,4031634,2278025,2,56.5037649746976,180398.18362415698
NEAR WEST SIDE,8607179,4597162,9,53.41078650740272,152365.59775947133
NORTH CENTER,1671607,705217,2,42.187966429908464,75087.17674191407
NORTH LAWNDALE,1140691,682927,4,59.86958782001436,214594.60755879516
NORWOOD PARK,844876,408194,1,48.31407212419337,112777.10184999109
OHARE,5050977,2856606,2,56.555513913446845,180894.2904058669
ROGERS PARK,5181553,2600236,4,50.182561097030174,126374.21359534604
ROSELAND,2818826,1330341,1,47.19486055542272,105119.70215945003
SOUTH LAWNDALE,431296,290906,1,67.44926917940347,306853.96912268165
UPTOWN,3988913,2096765,3,52.5648215441149,145239.7802039009
WASHINGTON PARK,323197,180055,1,55.71060374941599,172907.40586940982
WEST ELSDON,1465594,820022,1,55.95151181022848,175160.2179821927
WEST ENGLEWOOD,301890,145954,1,48.34674881579383,113006.08330876175
WEST GARFIELD PARK,1026393,513102,2,49.990793000341974,124930.96021711075
WEST TOWN,5807179,2919628,4,50.276184012926066,127082.84280495103
WOODLAWN,442000,194267,2,43.951809954751134,84904.41864630465
