Month,MonthName,2019,2020,2021,2022
1,January,13134311,14054329,2965081,4815276
2,February,13407429,13365729,3015927,5541207
3,March,14746263,8024293,3898318,7110938
4,April,14995232,1849629,4112171,6967276
5,May,15735446,1830042,4768231,7522839
6,June,15336417,2414845,5669251,7905758
7,July,15669325,3491319,6795339,7887694
8,August,15917367,3494408,6858883,8143124
9,September,15764357,3745541,7680638,8643576
10,October,16936271,3905049,7675966,8706636
11,November,14324156,3133634,6779584,7495657
12,December,13104631,3031485,5950298,6566927
