,map_id,station_x,community_id,lat,long,station_y,city,line,community_name,2019,2020,2021,2022,pct_19in22,pct_19in22viz
0,40010,Austin (Blue Line),,41.870851,-87.776812,Austin (Blue Line),Oak Park,Blue,,543533,207693,173234,208113,38.0,54872.0
1,40020,Harlem/Lake (Green Line),,41.886848,-87.803176,Harlem/Lake (Green Line),Oak Park,Green,,1101813,489376,455310,511312,46.0,97336.0
2,40030,Pulaski (Green Line),27,41.885412,-87.725404,Pulaski (Green Line),Chicago,Green,WEST GARFIELD PARK,455496,234734,216973,206449,45.0,91125.0
3,40040,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",38,41.878723,-87.63374,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",Chicago,Multi,LOOP,2188354,595970,509549,910782,42.0,74088.0
4,40050,Davis (Purple Line),,42.04771,-87.683543,Davis (Purple Line),Evanston,Purple,,1091440,393596,392194,468102,43.0,79507.0
5,40060,Belmont (Blue Line),22,41.938132,-87.712359,Belmont (Blue Line),Chicago,Blue,AVONDALE,1460132,578140,630192,826171,57.0,185193.0
6,40070,Jackson (Blue Line),38,41.878183,-87.629296,Jackson (Blue Line),Chicago,Blue,LOOP,2031329,619097,582353,858993,42.0,74088.0
7,40080,Sheridan (Red Line),57,41.953775,-87.654929,Sheridan (Red Line),Chicago,Red,LAKE VIEW,1503864,496168,536034,714841,48.0,110592.0
8,40090,Damen (Brown Line),6,41.966286,-87.678639,Damen (Brown Line),Chicago,Brown,LINCOLN SQUARE,838273,258662,285537,399167,48.0,110592.0
9,40100,Morse (Red Line),10,42.008362,-87.665909,Morse (Red Line),Chicago,Red,ROGERS PARK,1387878,551071,549693,663066,48.0,110592.0
10,40120,35th/Archer (Orange Line),56,41.829353,-87.680622,35th/Archer (Orange Line),Chicago,Orange,MCKINLEY PARK,896292,326259,352399,477257,53.0,148877.0
11,40130,51st (Green Line),4,41.80209,-87.618487,51st (Green Line),Chicago,Green,GRAND BOULEVARD,288107,131619,124414,147163,51.0,132651.0
12,40140,Dempster-Skokie  (Yellow Line),,42.038951,-87.751919,Dempster-Skokie  (Yellow Line),Skokie,Yellow,,557333,183819,188770,231114,41.0,68921.0
13,40150,Pulaski (Pink Line),30,41.853732,-87.724311,Pulaski (Pink Line),Chicago,Pink,NORTH LAWNDALE,328422,175044,168801,202788,62.0,238328.0
14,40160,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",38,41.8768,-87.631739,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",Chicago,Multi,LOOP,830063,257786,208858,343373,41.0,68921.0
15,40170,Ashland (Green & Pink lines),29,41.885269,-87.666969,Ashland (Green & Pink lines),Chicago,Multi,NEAR WEST SIDE,745065,300664,330678,452847,61.0,226981.0
16,40180,Oak Park (Blue Line),,41.872108,-87.791602,Oak Park (Blue Line),Oak Park,Blue,,504438,151589,123696,164142,33.0,35937.0
17,40190,Sox-35th (Red Line),35,41.831191,-87.630636,Sox-35th (Red Line),Chicago,Red,ARMOUR SQUARE,1391119,447543,564940,669745,48.0,110592.0
18,40210,Damen (Pink Line),33,41.854517,-87.675975,Damen (Pink Line),Chicago,Pink,LOWER WEST SIDE,463277,191722,244791,311301,67.0,300763.0
19,40220,Western (Blue Line - Forest Park Branch),29,41.875478,-87.688436,Western (Blue Line - Forest Park Branch),Chicago,Blue,NEAR WEST SIDE,494550,201721,191595,237176,48.0,110592.0
20,40230,Cumberland (Blue Line),75,41.984246,-87.838028,Cumberland (Blue Line),Chicago,Blue,OHARE,1239810,401506,375987,488142,39.0,59319.0
