map_id,station,city,line
40230,Cumberland (Blue Line),Chicago,Blue
40890,O'Hare (Blue Line),Chicago,Blue
40010,Austin (Blue Line),Oak Park,Blue
40180,Oak Park (Blue Line),Oak Park,Blue
40390,Forest Park (Blue Line),Forest Park,Blue
40820,Rosemont (Blue Line),Rosemont,Blue
40980,Harlem (Blue Line - Forest Park Branch),Chicago,Blue
40870,Francisco (Brown Line),Chicago,Brown
41180,Kedzie (Brown Line),Chicago,Brown
41290,Kimball (Brown Line),Chicago,Brown
40090,Damen (Brown Line),Chicago,Brown
41010,Rockwell (Brown Line),Chicago,Brown
41480,Western (Brown Line),Chicago,Brown
41500,Montrose (Brown Line),Chicago,Brown
40020,Harlem/Lake (Green Line),Oak Park,Green
40610,Ridgeland (Green Line),Oak Park,Green
41350,Oak Park (Green Line),Oak Park,Green
40660,Armitage (Brown & Purple lines),Chicago,Multi
41220,"Fullerton (Red, Brown & Purple lines)",Chicago,Multi
40420,Cicero (Pink Line),Cicero,Pink
40580,54th/Cermak (Pink Line),Cicero,Pink
40050,Davis (Purple Line),Evanston,Purple
40270,Main (Purple Line),Evanston,Purple
40400,Noyes (Purple Line),Evanston,Purple
40520,Foster (Purple Line),Evanston,Purple
40690,Dempster (Purple Line),Evanston,Purple
40840,South Boulevard (Purple Line),Evanston,Purple
41050,Linden (Purple Line),Evanston,Purple
41250,Central (Purple Line),Evanston,Purple
40340,Berwyn (Red Line),Chicago,Red
40760,Granville (Red Line),Chicago,Red
40880,Thorndale (Red Line),Chicago,Red
41380,Bryn Mawr (Red Line),Chicago,Red
40990,69th (Red Line),Chicago,Red
40910,63rd (Red Line),Chicago,Red
40080,Sheridan (Red Line),Chicago,Red
41420,Addison (Red Line),Chicago,Red
40450,95th/Dan Ryan (Red Line),Chicago,Red
40240,79th (Red Line),Chicago,Red
41430,87th (Red Line),Chicago,Red
40560,Jackson (Red Line),Chicago,Red
41090,Monroe (Red Line),Chicago,Red
41490,Harrison (Red Line),Chicago,Red
41660,Lake (Red Line),Chicago,Red
40330,Grand (Red Line),Chicago,Red
40630,Clark/Division (Red Line),Chicago,Red
40650,North/Clybourn (Red Line),Chicago,Red
41450,Chicago (Red Line),Chicago,Red
40190,Sox-35th (Red Line),Chicago,Red
41000,Cermak-Chinatown (Red Line),Chicago,Red
